# Stellar spectrum generated with Kurucz-Korg pipeline
# Teff=5777.0 K, logg=4.44, [Fe/H]=0.0, [α/Fe]=0.0
# Wavelength(Angstrom)  Flux  Continuum
9250.0  3.736290084526314e6  3.7478732455553464e6
9250.5  3.7378493102260707e6  3.747468760359705e6
9251.0  3.737585009397906e6  3.7470643153849165e6
9251.5  3.738065160960753e6  3.746659898040019e6
9252.0  3.73754530085446e6  3.746255521045004e6
9252.5  3.7354552266432294e6  3.745850936089447e6
9253.0  3.7373044640241307e6  3.7454463915656083e6
9253.5  3.7353695056042075e6  3.7450416680696444e6
9254.0  3.736564044136388e6  3.7446369848031728e6
9254.5  3.7349785887477715e6  3.7442323314391295e6
9255.0  3.5972358376662093e6  3.74382771848703e6
9255.5  3.66500880380313e6  3.7434231536655775e6
9256.0  3.703256340205617e6  3.743018629285079e6
9256.5  3.7113000885602883e6  3.7426141436781026e6
9257.0  3.7196428499713927e6  3.7422096983043463e6
9257.5  3.6948461421764283e6  3.741805283057241e6
9258.0  3.5095986955004362e6  3.7414009079706557e6
9258.5  3.20113029778675e6  3.7409967240663315e6
9259.0  3.678818616096495e6  3.7405925800883225e6
9259.5  3.7151251309728287e6  3.74018850218835e6
9260.0  3.6834937066929494e6  3.739784464220297e6
9260.5  3.717575330545958e6  3.7393804556380776e6
